Analyzing up to 1,000,000 ...
Sieve done in 0.73s

=== Record Setters (m where f(m) exceeds all prior f values) ===
         m    τ(m)    f(m)=m+τ  δ=τ(m)-1
      3762      24        3786        23
      3774      16        3790        15
      3780      48        3828        47
      3808      24        3832        23
      3816      24        3840        23
      3822      24        3846        23
      3828      24        3852        23
      3840      36        3876        35
      3861      16        3877        15
      3864      32        3896        31
      3876      24        3900        23
      3885      16        3901        15
      3888      30        3918        29
      3900      36        3936        35
      3920      30        3950        29
      3936      24        3960        23
      3948      24        3972        23
      3960      48        4008        47
      3990      32        4022        31
      4000      24        4024        23
      4004      24        4028        23
      4018      12        4030        11
      4020      24        4044        23
      4030      16        4046        15
      4032      42        4074        41
      4050      30        4080        29
      4060      24        4084        23
      4068      18        4086        17
      4074      16        4090        15
      4080      40        4120        39
      4104      32        4136        31
      4116      24        4140        23
      4125      16        4141        15
      4128      24        4152        23
      4140      36        4176        35
      4158      32        4190        31
      4176      30        4206        29
      4199       8        4207         7
      4200      48        4248        47
      4224      32        4256        31
      4240      20        4260        19
      4248      24        4272        23
      4256      24        4280        23
      4260      24        4284        23
      4270      16        4286        15
      4272      20        4292        19
      4275      18        4293        17
      4278      16        4294        15
      4280      16        4296        15
      4284      36        4320        35
      4290      32        4322        31
      4312      24        4336        23
      4320      48        4368        47
      4350      24        4374        23
      4356      27        4383        26
      4368      40        4408        39
      4392      24        4416        23
      4400      30        4430        29
      4410      36        4446        35
      4428      24        4452        23
      4440      32        4472        31
      4452      24        4476        23
      4464      30        4494        29
      4480      32        4512        31
      4488      32        4520        31
      4500      36        4536        35
      4522      16        4538        15
      4524      24        4548        23
      4536      40        4576        39
      4554      24        4578        23
      4560      40        4600        39
      4590      32        4622        31
      4600      24        4624        23
      4608      30        4638        29
      4620      48        4668        47
      4650      24        4674        23
      4656      20        4676        19
      4662      24        4686        23
      4674      16        4690        15
      4680      48        4728        47
      4704      36        4740        35
      4725      24        4749        23
      4732      18        4750        17
      4736      16        4752        15
      4740      24        4764        23
      4750      16        4766        15
      4752      40        4792        39
      4770      24        4794        23
      4784      20        4804        19
      4788      36        4824        35
      4800      42        4842        41
      4824      24        4848        23
      4830      32        4862        31
      4840      24        4864        23
      4848      20        4868        19
      4851      18        4869        17
      4860      36        4896        35
      4872      32        4904        31
      4884      24        4908        23
      4896      36        4932        35
      4914      32        4946        31
      4920      32        4952        31
      4928      28        4956        27
      4940      24        4964        23
      4950      36        4986        35
      4968      32        5000        31
      4980      24        5004        23
      4992      32        5024        31
      5010      16        5026        15
      5016      32        5048        31
      5040      60        5100        59
      5082      24        5106        23
      5088      24        5112        23
      5096      24        5120        23
      5100      36        5136        35
      5120      22        5142        21
      5124      24        5148        23
      5130      32        5162        31
      5148      36        5184        35
      5160      32        5192        31
      5175      18        5193        17
      5180      24        5204        23
      5184      35        5219        34
      5200      30        5230        29
      5208      32        5240        31
      5220      36        5256        35
      5236      24        5260        23
      5244      24        5268        23
      5250      32        5282        31
      5264      20        5284        19
      5265      20        5285        19
      5270      16        5286        15
      5278      16        5294        15
      5280      48        5328        47
      5304      32        5336        31
      5320      32        5352        31
      5328      30        5358        29
      5340      24        5364        23
      5346      24        5370        23
      5355      24        5379        23
      5360      20        5380        19
      5364      18        5382        17
      5368      16        5384        15
      5370      16        5386        15
      5376      36        5412        35
      5390      24        5414        23
      5400      48        5448        47
      5434      16        5450        15
      5436      18        5454        17
      5440      28        5468        27
      5454      16        5470        15
      5456      20        5476        19
      5460      48        5508        47
      5490      24        5514        23
      5500      24        5524        23
      5508      30        5538        29
      5520      40        5560        39
      5544      48        5592        47
      5568      28        5596        27
      5580      36        5616        35
      5600      36        5636        35
      5610      32        5642        31
      5616      40        5656        39
      5640      32        5672        31
      5658      16        5674        15
      5664      24        5688        23
      5670      40        5710        39
      5688      24        5712        23
      5698      16        5714        15
      5700      36        5736        35
      5712      40        5752        39
      5740      24        5764        23
      5742      24        5766        23
      5754      16        5770        15
      5760      48        5808        47
      5796      36        5832        35
      5808      30        5838        29
      5820      24        5844        23
      5824      28        5852        27
      5832      28        5860        27
      5848      16        5864        15
      5850      36        5886        35
      5874      16        5890        15
      5880      48        5928        47
      5904      30        5934        29
      5916      24        5940        23
      5920      24        5944        23
      5922      24        5946        23
      5928      32        5960        31
      5940      48        5988        47
      5976      24        6000        23
      5980      24        6004        23
      5984      24        6008        23
      5985      24        6009        23
      5994      20        6014        19
      6000      40        6040        39
      6020      24        6044        23
      6030      24        6054        23
      6040      16        6056        15
      6042      16        6058        15
      6045      16        6061        15
      6048      48        6096        47
      6072      32        6104        31
      6080      28        6108        27
      6084      27        6111        26
      6090      32        6122        31
      6110      16        6126        15
      6116      12        6128        11
      6118      16        6134        15
      6120      48        6168        47
      6150      24        6174        23
      6156      30        6186        29
      6160      40        6200        39
      6180      24        6204        23
      6188      24        6212        23
      6192      30        6222        29
      6200      24        6224        23
      6204      24        6228        23
      6210      32        6242        31
      6216      32        6248        31
      6237      20        6257        19
      6240      48        6288        47
      6264      32        6296        31
      6270      32        6302        31
      6288      20        6308        19
      6292      18        6310        17
      6300      54        6354        53
      6336      42        6378        41
      6360      32        6392        31
      6370      24        6394        23
      6372      24        6396        23
      6380      24        6404        23
      6384      40        6424        39
      6400      27        6427        26
      6408      24        6432        23
      6420      24        6444        23
      6426      32        6458        31
      6435      24        6459        23
      6440      32        6472        31
      6450      24        6474        23
      6460      24        6484        23
      6468      36        6504        35
      6480      50        6530        49
      6510      32        6542        31
      6525      18        6543        17
      6528      32        6560        31
      6540      24        6564        23
      6552      48        6600        47
      6580      24        6604        23
      6588      24        6612        23
      6600      48        6648        47
      6624      36        6660        35
      6630      32        6662        31
      6648      16        6664        15
      6650      24        6674        23
      6656      20        6676        19
      6660      36        6696        35
      6678      24        6702        23
      6688      24        6712        23
      6696      32        6728        31
      6708      24        6732        23
      6720      56        6776        55
      6750      32        6782        31
      6760      24        6784        23
      6762      24        6786        23
      6768      30        6798        29
      6776      24        6800        23
      6780      24        6804        23
      6786      24        6810        23
      6798      16        6814        15
      6800      30        6830        29
      6804      36        6840        35
      6820      24        6844        23
      6825      24        6849        23
      6832      20        6852        19
      6840      48        6888        47
      6864      40        6904        39
      6885      20        6905        19
      6888      32        6920        31
      6900      36        6936        35
      6912      36        6948        35
      6930      48        6978        47
      6960      40        7000        39
      6984      24        7008        23
      6992      20        7012        19
      6996      24        7020        23
      7000      32        7032        31
      7020      48        7068        47
      7040      32        7072        31
      7050      24        7074        23
      7056      45        7101        44
      7080      32        7112        31
      7098      24        7122        23
      7104      28        7132        27
      7110      24        7134        23
      7120      20        7140        19
      7125      16        7141        15
      7128      40        7168        39
      7140      48        7188        47
      7168      22        7190        21
      7176      32        7208        31
      7182      32        7214        31
      7200      54        7254        53
      7224      32        7256        31
      7236      24        7260        23
      7245      24        7269        23
      7252      18        7270        17
      7254      24        7278        23
      7260      36        7296        35
      7280      40        7320        39
      7296      32        7328        31
      7308      36        7344        35
      7320      32        7352        31
      7332      24        7356        23
      7344      40        7384        39
      7350      36        7386        35
      7360      28        7388        27
      7371      20        7391        19
      7378      16        7394        15
      7380      36        7416        35
      7392      48        7440        47
      7410      32        7442        31
      7420      24        7444        23
      7425      24        7449        23
      7434      24        7458        23
      7440      40        7480        39
      7452      30        7482        29
      7470      24        7494        23
      7476      24        7500        23
      7480      32        7512        31
      7488      42        7530        41
      7518      16        7534        15
      7520      24        7544        23
      7524      36        7560        35
      7540      24        7564        23
      7548      24        7572        23
      7560      64        7624        63
      7600      30        7630        29
      7614      20        7634        19
      7616      28        7644        27
      7630      16        7646        15
      7632      30        7662        29
      7644      36        7680        35
      7650      36        7686        35
      7656      32        7688        31
      7668      24        7692        23
      7680      40        7720        39
      7700      36        7736        35
      7722      32        7754        31
      7728      40        7768        39
      7740      36        7776        35
      7752      32        7784        31
      7770      32        7802        31
      7776      36        7812        35
      7800      48        7848        47
      7830      32        7862        31
      7840      36        7876        35
      7854      32        7886        31
      7866      24        7890        23
      7872      28        7900        27
      7884      24        7908        23
      7896      32        7928        31
      7917      16        7933        15
      7920      60        7980        59
      7956      36        7992        35
      7980      48        8028        47
      8008      32        8040        31
      8028      18        8046        17
      8034      16        8050        15
      8036      18        8054        17
      8040      32        8072        31
      8050      24        8074        23
      8052      24        8076        23
      8060      24        8084        23
      8064      48        8112        47
      8096      24        8120        23
      8100      45        8145        44
      8120      32        8152        31
      8136      24        8160        23
      8140      24        8164        23
      8148      24        8172        23
      8160      48        8208        47
      8184      32        8216        31
      8190      48        8238        47
      8208      40        8248        39
      8232      32        8264        31
      8250      32        8282        31
      8256      28        8284        27
      8262      24        8286        23
      8268      24        8292        23
      8280      48        8328        47
      8316      48        8364        47
      8352      36        8388        35
      8360      32        8392        31
      8370      32        8402        31
      8388      18        8406        17
      8398      16        8414        15
      8400      60        8460        59
      8424      40        8464        39
      8442      24        8466        23
      8448      36        8484        35
      8460      36        8496        35
      8480      24        8504        23
      8484      24        8508        23
      8496      30        8526        29
      8505      24        8529        23
      8512      28        8540        27
      8520      32        8552        31
      8532      24        8556        23
      8540      24        8564        23
      8544      24        8568        23
      8550      36        8586        35
      8568      48        8616        47
      8580      48        8628        47
      8610      32        8642        31
      8624      30        8654        29
      8640      56        8696        55
      8680      32        8712        31
      8694      32        8726        31
      8700      36        8736        35
      8712      36        8748        35
      8730      24        8754        23
      8736      48        8784        47
      8760      32        8792        31
      8772      24        8796        23
      8775      24        8799        23
      8778      32        8810        31
      8784      30        8814        29
      8800      36        8836        35
      8820      54        8874        53
      8856      32        8888        31
      8874      24        8898        23
      8880      40        8920        39
      8892      36        8928        35
      8904      32        8936        31
      8910      40        8950        39
      8928      36        8964        35
      8946      24        8970        23
      8960      36        8996        35
      8970      32        9002        31
      8976      40        9016        39
      9000      48        9048        47
      9024      28        9052        27
      9030      32        9062        31
      9044      24        9068        23
      9048      32        9080        31
      9060      24        9084        23
      9072      50        9122        49
      9100      36        9136        35
      9108      36        9144        35
      9120      48        9168        47
      9150      24        9174        23
      9152      28        9180        27
      9165      16        9181        15
      9168      20        9188        19
      9174      16        9190        15
      9176      16        9192        15
      9177      16        9193        15
      9180      48        9228        47
      9200      30        9230        29
      9216      33        9249        32
      9234      24        9258        23
      9240      64        9304        63
      9280      28        9308        27
      9282      32        9314        31
      9288      32        9320        31
      9300      36        9336        35
      9324      36        9360        35
      9345      16        9361        15
      9348      24        9372        23
      9350      24        9374        23
      9360      60        9420        59
      9396      30        9426        29
      9405      24        9429        23
      9408      42        9450        41
      9432      24        9456        23
      9438      24        9462        23
      9440      24        9464        23
      9450      48        9498        47
      9480      32        9512        31
      9492      24        9516        23
      9500      24        9524        23
      9504      48        9552        47
      9520      40        9560        39
      9540      36        9576        35
      9555      24        9579        23
      9568      24        9592        23
      9570      32        9602        31
      9576      48        9624        47
      9600      48        9648        47
      9630      24        9654        23
      9632      24        9656        23
      9636      24        9660        23
      9646      16        9662        15
      9648      30        9678        29
      9660      48        9708        47
      9680      30        9710        29
      9690      32        9722        31
      9702      36        9738        35
      9720      48        9768        47
      9744      40        9784        39
      9765      24        9789        23
      9768      32        9800        31
      9780      24        9804        23
      9790      16        9806        15
      9792      42        9834        41
      9800      36        9836        35
      9825      12        9837        11
      9828      48        9876        47
      9840      40        9880        39
      9856      32        9888        31
      9870      32        9902        31
      9880      32        9912        31
      9900      54        9954        53
      9936      40        9976        39
      9954      24        9978        23
      9960      32        9992        31
      9975      24        9999        23
      9984      36       10020        35
      9990      32       10022        31
      9996      36       10032        35
    300000      72      300072        71
    600000      84      600084        83
    700000      72      700072        71
    800000      54      800054        53
    900000     108      900108       107

Total records up to 1,000,000: 41376

=== δ Trajectory: closest approaches to δ≤2 after n=24 ===
         n      g(n-1)       n+2      δ
----------------------------------------
        35          38        37      3
      1078        1083      1080      5
      2336        2344      2338      8
      3059        3066      3061      7
      4199        4206      4201      7
      5040        5048      5042      8
      6116        6126      6118     10
      7917        7928      7919     11
      8398        8406      8400      8
      9828        9837      9830      9
     10080       10090     10082     10
     11696       11706     11698     10
     12597       12608     12599     11
     13440       13448     13442      8
     14685       14696     14687     11
     15360       15369     15362      9
     16560       16572     16562     12
     17280       17288     17282      8
     18000       18008     18002      8
     19488       19502     19490     14
     20060       20072     20062     12
     21054       21066     21056     12
     22176       22188     22178     12
     23392       23404     23394     12
     24472       24484     24474     12
     25190       25201     25192     11
     26877       26886     26879      9
     27000       27012     27002     12
     28700       28712     28702     12
     29370       29382     29372     12
     30240       30252     30242     12
     31668       31678     31670     10
     32076       32092     32078     16
     33984       33998     33986     14
     34560       34570     34562     10
     35999       36010     36001     11
     36000       36010     36002     10
     37788       37801     37790     13
     38376       38392     38378     16
     39420       39432     39422     12
     40560       40572     40562     12
     41940       41950     41942     10
     42108       42122     42110     14
     43680       43690     43682     10
     44352       44364     44354     12
     45339       45352     45341     13
     46782       46792     46784     10
     47232       47245     47234     13
     48298       48312     48300     14
     49245       49260     49247     15

Overall minimum δ for n>24 in [25, 1,000,000]: δ=3 at n=35

=== Growth of g(n) vs n ===
  n=     100: g(n) =        109  excess =      9  ratio = 1.090000
  n=   1,000: g(n) =      1,016  excess =     16  ratio = 1.016000
  n=  10,000: g(n) =     10,032  excess =     32  ratio = 1.003200
  n= 100,000: g(n) =    100,056  excess =     56  ratio = 1.000560
  n=1,000,000: g(n) =  1,000,063  excess =     63  ratio = 1.000063
